KODE LARAVEL,DESKRIPSI,PLANT
1001,LAMINATING - WOOD WORKING,1001
1002,FINGER JOINT - WOOD WORKING,1001
1003,MP.WW - WOOD WORKING,1001
1004,MP WE - WOOD ENGENEERING,1000
1005,MOULDING,1000
1006,MP PANEL ,1000
1007,MP VEENER LURUS,1000
1008,MP VEENER MOTIVE,1000
1009,PANELING,1000
1010,SLICER,1000
1011,SAWMIL,1000
1012,MACHINING,1000
1013,MACHINING,1000
1014,CNC PANNELLING,1000
1015,MOULDING,1000
1201,HARDWARE TERBUNGKUS,1201
2001,MACHINING CASE,2000
2002,FINISHING ASSY,2000
2003,MACHINING - BED & DINING,2000
2004,ASSY - BED & DINING,2000
2005,EDGE BADING,2000
2007,PINDAHAN PUSHPOL – FINISHING,2000
2008,PACKING – FIBNISHING,2000
2009,MP CHAIR,2000
2010,MACHINING CHAIR,2000
2011,ASSY CHAIR,2000
2012,PAINTING CHAIR,2000
2013,PACKING CHAIR,2000
2014,UPH,2000
2015,MACHINING - BED & DINING,2000
2016,ASSY,2000
2019,MACHINING BOX – BOX PACKAGIN,2000
2021,SUB ASSY SURABAYA,2000
2022,ASSY SURABAYA,2000
2023,PTG METAL – CHAIR,2000
2024,PTG METAL – CHAIR,2000
2025,PLAYFIELD - BED & DINING,2000
2026,PRODUCTION SAMPLE MAKER,2000
2027,DRAWING - RND SURABAYA,2000
3001,PEMBAHANAN CUTTING – CHARLY,3000
3002,ASSY COMPONENT - CHARLY,3000
3003,ASSY COMPONENT - CHARLY,3000
3004,POWDER COATING - CHARLY,3000
3009,MA CASTING – BRAVO,3000
3010,PAINTING – BRAVO,3000
3011,MA PACKING – BRAVO,3000
3012,MACHINING – DELTA,3000
3013,EDGE BANDING - DELTA,3000
3014,ASSY BODY – DELTA,3000
3015,PAINTING – DELTA,3000
3016,PACKING – DELTA,3000
3018,ASSEMBLY – ECHO,3000
3019,FINISHING – ECHO,3000
3021,MATERIAL PREPARATION - ALPHA,3000
3022,SAMPLE – CHARLY,3000
